Commodity,mean,std,count,cv,avg_daily_range_pct
Squash(Long),32.51411120471778,12.41436366939139,2374,0.3818146401489232,0.18876206879500365
Orange(Indian),107.36263736263736,40.89816976439862,273,0.3809348463214201,0.09810740056773756
Chilli Green(Bullet),70.01386321626617,26.045051638703594,541,0.3719984934733983,0.12442546153954148
Potato Red(Indian),38.99551166965889,14.453798807322023,557,0.37065288256156015,0.08159971089198333
Onion Dry (Chinese),87.61111111111111,32.11416065603684,108,0.36655351414626697,0.08050782965475954
Raddish Red,33.78709288299156,12.380060907942148,829,0.3664139128754187,0.17813627300698362
Tomato Big(Nepali),48.727961707219784,17.69521681918203,2507,0.3631429716987365,0.13162275609527072
Strawberry,416.8376068376068,150.52568584454022,234,0.36111349689996325,0.12363576635655665
Brinjal Long,37.917397660818715,13.603887387630651,2736,0.35877692634186215,0.16273152288497114
Snake Gourd,35.074008810572685,12.53746706779773,1135,0.35745748755182055,0.16499001108118005
Sponge Gourd,43.56535532994924,15.531943728503434,788,0.3565205335953249,0.13781389534121571
Chilli Green(Machhe),71.15248226950355,25.06304443658777,423,0.352244133123237,0.12797071747289007
Bakula,67.06631299734748,23.557621439746573,1131,0.35125863323779694,0.12008478859160927
Sweet Lime,61.607142857142854,21.362420789274374,14,0.3467523374490913,0.12567101165835853
Squash(Round),44.11808669656203,15.22838465917519,669,0.34517327924744035,0.16106161640097127
Litchi(Local),106.94186046511628,36.512417760648255,215,0.3414230648489453,0.11104625632041176
Grapes(Green),143.2881567973311,48.83219018077986,1199,0.34079711311974537,0.09030814751260174
Mango(Maldah),96.21049661399549,32.728475350008985,886,0.34017572408256397,0.11824313825147555
Kinnow,67.32307692307693,22.859513034671952,325,0.3395494395003832,0.13355681554539406
Yam,43.60090497737556,14.704347771430518,1105,0.3372486827752905,0.1286906077177904
Fenugreek Leaf,59.93510452961672,19.58286488745705,2296,0.3267344745812572,0.11834841621796875
Fennel Leaf,62.27324358435002,20.345596549239556,2377,0.32671489998238407,0.11774228674924936
Kiwi,289.94535519125685,91.57202934290332,183,0.3158251294713778,0.11886684791610609
Water Melon(Green),46.16442702500933,14.457301349869644,2679,0.3131697343939193,0.13432947152259322
Soyabean Green,66.91658812441094,20.7237756096213,1061,0.30969564035589764,0.10656175330504061
Potato Red(Mude),50.25494071146245,15.524916778156753,253,0.30892319358792386,0.050869472110254055
Neuro,75.31946564885496,23.17532989367437,1310,0.30769376407580357,0.12346624890071355
Knolkhol,48.16502808988764,14.709776518615124,1424,0.3054036736190231,0.13490224021660813
Apple(Jholey),122.28382407752515,36.72051982778066,2683,0.3002892664241567,0.09296635217080403
Turnip A,55.860323089046496,16.650511958984406,2538,0.2980740360638795,0.13044696365093592
Grapes(Black),260.18779342723,77.0094023989533,213,0.29597623080074076,0.07597381671461527
Mango(Dushari),101.37931034482759,29.480786241394053,58,0.2907968710885808,0.10627290366536361
Pear(Chinese),198.96853146853147,56.77827891030109,429,0.28536310989097813,0.058852110228901286
Turnip,57.99285714285714,16.226394903939337,420,0.27979988749248763,0.11884975277069332
Bottle Gourd,39.63944444444444,10.990198219214095,2700,0.27725409306926846,0.15868279082793102
Mustard Leaf,48.32790143084261,13.383091930867149,2516,0.27692267892116934,0.14272437855928302
Sweet Orange,112.58607198748044,31.079760179624852,2556,0.2760533308514478,0.09570641296348742
Brinjal Round,38.050350701402806,10.424635602545983,1996,0.27396950121044894,0.15588008797922445
Bamboo Shoot,101.34748542274052,27.540934453966383,2744,0.271747585439221,0.10500758959457696
Orange(Nepali),84.36198945981555,22.85671364096948,1518,0.27093616197679765,0.11911499083216595
Mushroom(Kanya),149.76886446886448,40.2341655043222,2730,0.2686417210079502,0.0842005967704796
Tomato Big(Indian),60.33755274261603,16.112447853025046,474,0.26703847141027526,0.12851654278595387
Pumpkin,30.093738489871086,8.003485643423334,2715,0.2659518572648306,0.1486905207803187
Cowpea(Short),58.81944444444444,15.551491173163374,324,0.26439371061812583,0.11579018698527146
Banana,78.39413265306122,20.639754153719014,2744,0.2632818739772491,0.1259991863337211
Mushroom(Button),355.8491947291362,90.33068904188468,683,0.25384542210540123,0.04589578705753518
Pomegranate,212.26249053747162,53.62236203549695,2642,0.25262288169576885,0.06158460044731663
Sweet Potato,51.29576399394856,12.588019083768012,661,0.24540075249201942,0.13872318258027236
French Bean(Rajma),87.5,20.813472486413094,158,0.2378682569875782,0.09019788206225263
Chilli Dry,250.4585152838428,59.22474907564662,2748,0.23646530447778008,0.044842412807403746
Water Melon(Dotted),32.904761904761905,7.563743826547493,42,0.22986775739145782,0.1787400010377397
Lemon,38.35606060606061,8.781730535627231,594,0.22895287985439353,0.1631452353823832
Sugarcane,55.865800865800864,12.458493313715548,462,0.22300751301575295,0.17955346000056704
Sugarbeet,69.33823529411765,15.214574577513707,2618,0.21942546580507571,0.13831505028993438
Arum,42.60222772277228,8.99692149140802,2020,0.21118429651036472,0.14110937559821568
Tamarind,114.23572744014733,23.47132993308375,2715,0.20546400376695917,0.09103764922795596
Papaya(Nepali),66.17186067827681,13.215710300135777,2182,0.19971797928412022,0.1259660242147641
Gundruk,213.375,40.38162023995328,2420,0.18925188161665274,0.05822415258488437
Tofu,80.06031922791388,15.064491244136278,2694,0.1881642665107421,0.12507114106658096
Pineapple,101.11047835990888,18.483133531449315,2634,0.18280136570670233,0.10213267257442059
Mandarin,61.98529411764706,11.201669181399582,68,0.18071494764772755,0.15069075783129612
Papaya(Indian),94.87649700598803,15.808238083633364,668,0.1666191162457826,0.10915401253489161
Apple(Fuji),280.0253164556962,39.92218785761481,395,0.14256635208170915,0.06481187834089075
Litchi(Indian),142.6219512195122,18.11380015616714,41,0.12700569583631513,0.08063734415563834
Fish Fresh(Rahu),282.147853736089,26.244479237544624,629,0.09301676014906982,0.02510157060753559
Fish Fresh,234.90962383976552,17.23771156803642,2047,0.07338018462706516,0.03639819947668105
Fish Fresh(Mungari),243.43004769475357,17.52981636927203,629,0.07201171973335581,0.02974790088150128
Fish Fresh(Chhadi),213.61331220285263,11.904824164051227,631,0.05573072221616087,0.041902518499564036
Fish Fresh(Bachuwa),220.53486529318542,11.908262635236165,631,0.05399718824234425,0.036244224713818045
Mango(Calcutte),133.91304347826087,7.064077135107663,23,0.052751225359570206,0.12357935806211669
Mango(Chousa),135.0,0.0,2,0.0,0.2222222222222222
