Commodity,n_obs,start,end,span_days,coverage_pct
Sugarbeet,2618,2013-06-16,2021-05-13,2889,0.90619591554171
Pineapple,2634,2013-06-16,2021-05-13,2889,0.9117341640706127
Mint,2634,2013-06-16,2021-05-13,2889,0.9117341640706127
Pomegranate,2642,2013-06-16,2021-05-13,2889,0.914503288335064
Cucumber(Hybrid),656,2019-05-31,2021-05-13,714,0.9187675070028011
Mango(Calcutte),23,2021-04-19,2021-05-13,25,0.92
Okara,2663,2013-06-16,2021-05-13,2889,0.9217722395292489
Bitter Gourd,2670,2013-06-16,2021-05-13,2889,0.9241952232606438
Garlic Green,2675,2013-06-16,2021-05-13,2889,0.9259259259259259
Water Melon(Green),2679,2013-06-16,2021-05-13,2889,0.9273104880581516
Apple(Jholey),2683,2013-06-16,2021-05-12,2888,0.929016620498615
French Bean(Hybrid),660,2019-06-04,2021-05-13,710,0.9295774647887324
Cucumber(Local),2686,2013-06-16,2021-05-13,2889,0.9297334717895466
Tofu,2694,2013-06-16,2021-05-13,2889,0.9325025960539979
Bottle Gourd,2700,2013-06-16,2021-05-13,2889,0.9345794392523364
Pumpkin,2715,2013-06-16,2021-05-13,2889,0.9397715472481828
Tamarind,2715,2013-06-16,2021-05-13,2889,0.9397715472481828
Papaya(Indian),668,2019-06-04,2021-05-13,710,0.9408450704225352
Squash(Round),669,2019-06-04,2021-05-13,710,0.9422535211267605
Lime,2725,2013-06-16,2021-05-13,2889,0.943232952578747
Capsicum,2725,2013-06-16,2021-05-13,2889,0.943232952578747
Garlic Dry Chinese,2728,2013-06-16,2021-05-13,2889,0.9442713741779163
Mushroom(Kanya),2730,2013-06-16,2021-05-13,2889,0.944963655244029
Spinach Leaf,2733,2013-06-16,2021-05-13,2889,0.9460020768431984
Chilli Green,2735,2013-06-16,2021-05-13,2889,0.9466943579093112
Onion Green,2735,2013-06-16,2021-05-13,2889,0.9466943579093112
Brinjal Long,2736,2013-06-16,2021-05-13,2889,0.9470404984423676
Carrot(Local),2736,2013-06-16,2021-05-13,2889,0.9470404984423676
French Bean(Local),2739,2013-06-16,2021-05-13,2889,0.9480789200415368
Tomato Small(Local),2741,2013-06-16,2021-05-13,2889,0.9487712011076497
Coriander Green,2741,2013-06-16,2021-05-13,2889,0.9487712011076497
Onion Dry (Indian),2742,2013-06-16,2021-05-13,2889,0.9491173416407062
Brd Leaf Mustard,2742,2013-06-16,2021-05-13,2889,0.9491173416407062
Bamboo Shoot,2744,2013-06-16,2021-05-13,2889,0.949809622706819
Banana,2744,2013-06-16,2021-05-13,2889,0.949809622706819
Potato Red,2746,2013-06-16,2021-05-13,2889,0.9505019037729318
Raddish White(Local),2747,2013-06-16,2021-05-13,2889,0.9508480443059882
Chilli Dry,2748,2013-06-16,2021-05-13,2889,0.9511941848390446
Cabbage(Local),2749,2013-06-16,2021-05-13,2889,0.9515403253721011
Cauli Local,2750,2013-06-16,2021-05-13,2889,0.9518864659051575
Ginger,2751,2013-06-16,2021-05-13,2889,0.952232606438214
Mushroom(Button),683,2019-05-31,2021-05-13,714,0.9565826330532213
Tomato Small(Tunnel),686,2019-05-31,2021-05-13,714,0.9607843137254902
Kiwi,183,2020-10-21,2021-04-28,190,0.9631578947368421
Raddish White(Hybrid),691,2019-06-04,2021-05-13,710,0.9732394366197183
