model,mae,rmse,mape,n_folds_succeeded
SARIMA,15.869213907688739,23.51670760097226,11.423332368217796,4
TFT,16.027299199785503,22.998891901192515,12.142895496046325,4
LSTM,19.194375310625347,25.13653957196192,15.996409075424328,4
LightGBM (global),22.65000931769334,30.118131893601117,19.726648331399602,4
Moving Average,23.230096726190478,30.10222798647876,20.618545484979617,4
Prophet,37.858355549259784,43.54727792170364,36.95069108089646,4
Naive Seasonal,51.87723214285714,57.27930459733537,49.02081137935586,4
